participant_id,master_seed,derived_seed,target_words,observed_words,matched_quotes,unmatched_quotes,excluded_word_count,remaining_word_count
360,20260714,51776765,201,201,7,0,201,411
362,20260714,624084745,172,172,7,0,172,610
363,20260714,3575066139,200,200,8,0,200,1971
364,20260714,3058260318,237,237,16,0,229,3883
366,20260714,3224040694,195,195,9,0,195,2353
367,20260714,3563990472,415,415,17,0,415,2621
368,20260714,1061995670,358,358,19,0,358,3166
369,20260714,2124299336,187,187,7,0,187,2053
370,20260714,1465172386,180,180,8,0,180,2906
371,20260714,1184201820,103,103,4,0,103,718
372,20260714,4042906023,246,246,14,0,246,1924
374,20260714,404524888,205,205,8,0,205,2198
375,20260714,1729040741,96,96,6,0,96,439
376,20260714,1036359058,387,387,22,0,387,1333
377,20260714,2769107617,216,216,15,0,216,2196
379,20260714,1206288033,197,197,10,0,197,2329
380,20260714,3772156227,395,395,6,0,395,3538
381,20260714,2593972587,417,417,12,0,403,1247
382,20260714,2591867045,132,132,8,0,132,979
383,20260714,3673341395,110,110,4,0,110,2006
385,20260714,1377652758,0,0,0,0,0,167
386,20260714,1330056365,171,171,11,0,150,1965
388,20260714,549288221,76,76,5,0,76,383
389,20260714,3941079371,41,41,4,0,41,525
390,20260714,2096288757,246,246,8,0,246,1161
391,20260714,2132391427,21,21,5,0,21,577
392,20260714,3353542667,135,135,8,0,135,557
393,20260714,1394090866,117,117,7,0,117,605
395,20260714,1905440109,134,134,10,0,134,1089
397,20260714,3787176579,184,184,7,0,184,1528
400,20260714,3978186993,123,123,6,0,123,1075
401,20260714,3331867160,79,79,6,0,79,1114
402,20260714,1047380473,219,219,11,0,207,933
403,20260714,2790492401,134,134,9,0,129,1300
404,20260714,2817884319,209,209,10,0,209,860
406,20260714,1329879234,144,144,6,0,144,855
409,20260714,396910977,171,171,11,0,171,2228
412,20260714,884872474,64,64,6,0,64,811
413,20260714,2914230011,242,242,9,0,242,1450
414,20260714,1213217683,183,183,11,0,183,1284
415,20260714,3685927640,131,131,8,0,131,1066
416,20260714,3048812759,106,106,7,0,106,1344
417,20260714,3649853840,186,186,6,0,186,1019
418,20260714,1879538021,156,156,6,0,156,1478
419,20260714,665327848,174,174,6,0,174,1472
420,20260714,4129283487,75,75,6,0,75,1010
422,20260714,2927609857,288,288,10,0,288,2123
423,20260714,3993815694,106,106,8,0,106,900
425,20260714,1355532962,163,163,8,0,163,1571
426,20260714,165211145,251,251,6,0,251,942
427,20260714,415854515,58,58,5,0,58,1001
428,20260714,3663401200,106,106,5,0,106,874
429,20260714,1292554944,120,120,7,0,120,1058
430,20260714,3910550839,200,200,8,0,189,1253
433,20260714,3384989210,95,95,5,0,95,828
434,20260714,456335966,275,275,11,0,275,2307
436,20260714,777673275,160,160,5,0,160,1241
437,20260714,3839190088,129,129,5,0,129,1082
439,20260714,2109049568,74,74,5,0,74,2936
440,20260714,2306849132,365,365,13,0,365,1489
441,20260714,2213190314,226,226,16,0,226,721
443,20260714,3792069233,22,22,2,0,22,497
444,20260714,2115843253,268,268,11,0,268,2524
445,20260714,3553365639,278,278,13,0,278,729
446,20260714,1415377548,163,163,5,0,163,1580
447,20260714,2081821156,156,156,6,0,156,1214
448,20260714,920126335,266,266,15,0,266,2240
449,20260714,440456357,97,97,4,0,97,2969
451,20260714,3393932596,298,298,10,0,298,1426
454,20260714,3550661667,45,45,3,0,45,628
455,20260714,2572327688,146,146,6,0,146,926
456,20260714,3479181964,117,117,5,0,117,1516
457,20260714,2761484167,166,166,7,0,166,1205
458,20260714,1894370785,141,141,6,0,141,1156
459,20260714,1827210260,383,383,14,0,383,821
463,20260714,3753060257,118,118,7,0,118,795
464,20260714,3749110806,112,112,7,0,112,1918
468,20260714,1066155998,182,182,8,0,182,1688
471,20260714,690468856,82,82,4,0,82,1397
472,20260714,1486565517,119,119,7,0,119,781
473,20260714,2899371837,53,53,6,0,53,284
474,20260714,1646026747,162,162,6,0,162,1583
475,20260714,1013222057,120,120,6,0,120,600
476,20260714,1200129317,89,89,6,0,89,546
477,20260714,1315443124,327,327,8,0,327,2462
478,20260714,4267062744,208,208,12,0,208,1085
479,20260714,1145645073,57,57,4,0,57,605
482,20260714,2249328610,158,158,5,0,158,1729
483,20260714,1211387072,138,138,12,0,138,2121
484,20260714,3944188128,241,241,8,0,241,1136
485,20260714,2994142480,121,121,8,0,121,584
486,20260714,367063739,43,43,3,0,43,725
487,20260714,2497403342,132,132,5,0,132,1677
488,20260714,2769973562,162,162,8,0,162,1251
489,20260714,2571722797,46,46,3,0,46,445
490,20260714,1119896356,87,87,4,0,87,505
491,20260714,3882864612,110,110,9,0,110,1131
492,20260714,4080968425,28,28,3,0,28,1231
