pid,chosen_kind,chosen_path,zip_candidates,folder_candidates
403,zip,F:\403_P.zip,F:\403_P.zip,
404,zip,F:\404_P.zip,F:\404_P.zip,
405,zip,F:\405_P.zip,F:\405_P.zip,
406,zip,F:\406_P.zip,F:\406_P.zip,
407,zip,F:\407_P.zip,F:\407_P.zip,
408,zip,F:\408_P.zip,F:\408_P.zip,
409,zip,F:\409_P.zip,F:\409_P.zip,
410,zip,F:\410_P.zip,F:\410_P.zip,
411,zip,F:\411_P.zip,F:\411_P.zip,
412,zip,F:\412_P.zip,F:\412_P.zip,
413,zip,F:\413_P.zip,F:\413_P.zip,
414,zip,F:\414_P.zip,F:\414_P.zip,
415,zip,F:\415_P.zip,F:\415_P.zip,
416,zip,F:\416_P.zip,F:\416_P.zip,
417,zip,F:\417_P.zip,F:\417_P.zip,
418,zip,F:\418_P.zip,F:\418_P.zip,
419,zip,F:\419_P.zip,F:\419_P.zip,
420,zip,F:\420_P.zip,F:\420_P.zip,
421,zip,F:\421_P.zip,F:\421_P.zip,
422,zip,F:\422_P.zip,F:\422_P.zip,
423,zip,F:\423_P.zip,F:\423_P.zip,
424,zip,F:\424_P.zip,F:\424_P.zip,
425,zip,F:\425_P.zip,F:\425_P.zip,
426,zip,F:\426_P.zip,F:\426_P.zip,
427,zip,F:\427_P.zip,F:\427_P.zip,
428,zip,F:\428_P.zip,F:\428_P.zip,
429,zip,F:\429_P.zip,F:\429_P.zip,
430,zip,F:\430_P.zip,F:\430_P.zip,
431,zip,F:\431_P.zip,F:\431_P.zip,
432,zip,F:\432_P.zip,F:\432_P.zip,
433,zip,F:\433_P.zip,F:\433_P.zip,
434,zip,F:\434_P.zip,F:\434_P.zip,
435,zip,F:\435_P.zip,F:\435_P.zip,
436,zip,F:\436_P.zip,F:\436_P.zip,
437,zip,F:\437_P.zip,F:\437_P.zip,
438,zip,F:\438_P.zip,F:\438_P.zip,
439,zip,F:\439_P.zip,F:\439_P.zip,
440,zip,F:\440_P.zip,F:\440_P.zip,
441,zip,F:\441_P.zip,F:\441_P.zip,
442,zip,F:\442_P.zip,F:\442_P.zip,
443,zip,F:\443_P.zip,F:\443_P.zip,
444,zip,F:\444_P.zip,F:\444_P.zip,
445,zip,F:\445_P.zip,F:\445_P.zip,
446,zip,F:\446_P.zip,F:\446_P.zip,
447,zip,F:\447_P.zip,F:\447_P.zip,
448,zip,F:\448_P.zip,F:\448_P.zip,
449,zip,F:\449_P.zip,F:\449_P.zip,
450,zip,F:\450_P.zip,F:\450_P.zip,
451,zip,F:\451_P.zip,F:\451_P.zip,
452,zip,F:\452_P.zip,F:\452_P.zip,
453,zip,F:\453_P.zip,F:\453_P.zip,
454,zip,F:\454_P.zip,F:\454_P.zip,
455,zip,F:\455_P.zip,F:\455_P.zip,
456,zip,F:\456_P.zip,F:\456_P.zip,
457,zip,F:\457_P.zip,F:\457_P.zip,
458,zip,F:\458_P.zip,F:\458_P.zip,
459,zip,F:\459_P.zip,F:\459_P.zip,
461,zip,F:\461_P.zip,F:\461_P.zip,
462,zip,F:\462_P.zip,F:\462_P.zip,
463,zip,F:\463_P.zip,F:\463_P.zip,
464,zip,F:\464_P.zip,F:\464_P.zip,
465,zip,F:\465_P.zip,F:\465_P.zip,
466,zip,F:\466_P.zip,F:\466_P.zip,
467,zip,F:\467_P.zip,F:\467_P.zip,
468,zip,F:\468_P.zip,F:\468_P.zip,
469,zip,F:\469_P.zip,F:\469_P.zip,
470,zip,F:\470_P.zip,F:\470_P.zip,
471,zip,F:\471_P.zip,F:\471_P.zip,
472,zip,F:\472_P.zip,F:\472_P.zip,
473,zip,F:\473_P.zip,F:\473_P.zip,
474,zip,F:\474_P.zip,F:\474_P.zip,
475,zip,F:\475_P.zip,F:\475_P.zip,
476,zip,F:\476_P.zip,F:\476_P.zip,
477,zip,F:\477_P.zip,F:\477_P.zip,
478,zip,F:\478_P.zip,F:\478_P.zip,
479,zip,F:\479_P.zip,F:\479_P.zip,
480,zip,F:\480_P.zip,F:\480_P.zip,
481,zip,F:\481_P.zip,F:\481_P.zip,
482,zip,F:\482_P.zip,F:\482_P.zip,
483,zip,F:\483_P.zip,F:\483_P.zip,
484,zip,F:\484_P.zip,F:\484_P.zip,
485,zip,F:\485_P.zip,F:\485_P.zip,
486,zip,F:\486_P.zip,F:\486_P.zip,
487,zip,F:\487_P.zip,F:\487_P.zip,
488,zip,F:\488_P.zip,F:\488_P.zip,
489,zip,F:\489_P.zip,F:\489_P.zip,
490,zip,F:\490_P.zip,F:\490_P.zip,
491,zip,F:\491_P.zip,F:\491_P.zip,
492,zip,F:\492_P.zip,F:\492_P.zip,
