block,feature,source_side,source_file,operational_definition,uses_phq_label,uses_source_score,interpretation_scope
R,protocol_prompt__ellie17dec2012_07_6ec6c066__presence,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__ellie17dec2012_08_8855b672__count,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__ellie17dec2012_08_8855b672__presence,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__ellie17dec2012_09_2bec47ec__count,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__ellie17dec2012_09_2bec47ec__presence,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__ellie17dec2012_10_5046e4e3__count,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__ellie17dec2012_10_5046e4e3__presence,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__introv4confirmation_ad1a3a65__count,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__introv4confirmation_ad1a3a65__presence,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__adapted_la_d6ad9dd4__count,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__adapted_la_d6ad9dd4__presence,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__advice_back_08a6819f__count,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__advice_back_08a6819f__presence,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__appreciate_open_f1cd17fb__count,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__appreciate_open_f1cd17fb__presence,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__argument_about_7bba25ef__count,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__asked_everything_aa08d4fa__count,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__asked_everything_aa08d4fa__presence,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__avoid_dec07345__count,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__avoid_dec07345__presence,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__aw_a7ce5b0c__count,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__aw_a7ce5b0c__presence,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__awesome_03d67c26__count,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__awesome_03d67c26__presence,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__back_later_0c039c33__count,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__been_hard_0620b1f7__count,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__been_hard_0620b1f7__presence,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__behavior_changes_bbdb158d__count,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__behavior_changes_bbdb158d__presence,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__bouts_symptoms_847b962d__count,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__bouts_symptoms_847b962d__presence,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__bye_78c9a53e__count,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__bye_78c9a53e__presence,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__change_directions_ab861ede__count,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__change_directions_ab861ede__presence,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__compares_la_f03a2f2a__count,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__compares_la_f03a2f2a__presence,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__control_temper_f99aa7f9__count,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__control_temper_f99aa7f9__presence,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__cool3_502539c9__count,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__cool3_502539c9__presence,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__depression_diagnosed_f489d3a9__count,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__depression_diagnosed_f489d3a9__presence,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__describe_felt_6b778623__count,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__describe_felt_6b778623__presence,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__difficult_d2a26f03__count,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__difficult_d2a26f03__presence,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__dont_like_la_0da400d7__count,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__dont_like_la_0da400d7__presence,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__downer_46f38f2e__count,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__downer_46f38f2e__presence,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__dream_job_0a311d82__count,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__dream_job_0a311d82__presence,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__easy_parent_473bf5f0__count,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__easy_parent_473bf5f0__presence,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__easy_sleep_081bd6de__count,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__easy_sleep_081bd6de__presence,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__elaborate_76db5965__count,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__family_relationship_c49acd90__count,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__family_relationship_c49acd90__presence,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__family_roleb_220ffacf__count,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__family_roleb_220ffacf__presence,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__feel_down_4b4ccef3__count,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__feel_down_4b4ccef3__presence,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__feel_lately_f26785d9__count,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__feel_lately_f26785d9__presence,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__feelbadly_78a05e1e__count,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__feelbadly_78a05e1e__presence,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__feelguilty_149c5169__count,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__feelguilty_149c5169__presence,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__give_example_5db21016__count,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__give_example_5db21016__presence,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__good_hear_5d9e6ab4__count,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__good_hear_5d9e6ab4__presence,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__good_job_d1b68d76__count,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__good_job_d1b68d76__presence,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__great_situation_300ad8bd__count,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__great_situation_300ad8bd__presence,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__great_thanks_3d735da8__count,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__great_thanks_3d735da8__presence,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__happy_didthat_b74c5bbf__count,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__happy_didthat_b74c5bbf__presence,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__happy_lasttime_fe4893dd__count,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__happy_lasttime_fe4893dd__presence,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__hard_decision_4a5ebbbb__count,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__hard_decision_4a5ebbbb__presence,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__hard_decisionb_49889cde__count,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__hard_decisionb_49889cde__presence,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__hmmb_7c799939__count,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__hmmb_7c799939__presence,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__hmm_downer_8bc1e00f__count,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__hmm_downer_8bc1e00f__presence,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__how_doingv_4b7c3a4a__count,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__how_doingv_4b7c3a4a__presence,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__how_know_386d0d59__count,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__how_know_386d0d59__presence,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__ideal_weekendc_be9c220d__count,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__ideal_weekendc_be9c220d__presence,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__im_sorry_60db206d__count,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__im_sorry_60db206d__presence,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__influence_positive_04c30d8d__count,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
