condition,participant_id,document_index,word_count,chunk_count,is_empty,cache_key,cache_path
full_transcript,319,12,1339,9,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,320,13,1678,11,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,321,14,1765,12,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,322,15,2394,16,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,324,16,1638,11,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,325,17,2420,16,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,326,18,1241,8,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,327,19,1514,10,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,328,20,2762,19,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,330,21,1171,8,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,331,22,2195,15,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,333,23,2117,14,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,335,24,2167,15,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,336,25,1758,12,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,338,26,1411,10,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,339,27,1754,12,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,340,28,1283,9,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,341,29,2057,14,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,343,30,1573,11,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,344,31,2800,19,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,345,32,2041,14,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,346,33,3101,21,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,347,34,1120,8,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,348,35,1734,12,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,350,36,2110,14,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,351,37,1874,13,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,352,38,2143,14,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,353,39,1901,13,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,355,40,1621,11,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,356,41,2308,16,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,357,42,851,6,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,358,43,1208,8,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,360,44,1032,7,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,362,45,1327,9,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,363,46,2893,19,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,364,47,5165,35,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,366,48,3407,23,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,367,49,3884,26,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,368,50,4327,29,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,369,51,3017,20,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,370,52,3730,25,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,371,53,1717,12,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,372,54,3207,22,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,374,55,3287,22,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,375,56,1252,9,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,376,57,2583,17,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,377,58,3605,24,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,379,59,3617,24,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,380,60,4982,33,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,381,61,2497,17,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,382,62,2001,14,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,383,63,2956,20,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,385,64,886,6,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,386,65,2967,20,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,388,66,1249,8,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,389,67,1474,10,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,390,68,2371,16,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,391,69,1396,9,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,392,70,1469,10,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,393,71,1407,10,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,395,72,2038,14,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,397,73,2683,18,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,400,74,2082,14,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,401,75,2048,14,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,402,76,1873,13,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,403,77,2188,15,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,404,78,1923,13,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,406,79,1709,12,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,409,80,3147,21,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,412,81,1761,12,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,413,82,2484,17,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,414,83,2208,15,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,415,84,1997,13,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,416,85,2364,16,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,417,86,1977,13,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,418,87,2524,17,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,419,88,2388,16,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,420,89,2052,14,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,422,90,3284,22,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,423,91,1903,13,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,425,92,2572,17,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,426,93,2100,14,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,427,94,1968,13,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,428,95,1811,12,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,429,96,2166,15,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,430,97,2278,15,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,433,98,1784,12,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,434,99,3418,23,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,436,100,2182,15,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,437,101,2031,14,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,439,102,3782,25,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,440,103,2856,19,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,441,104,1999,13,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,443,105,1362,9,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,444,106,3716,25,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,445,107,1773,12,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,446,108,2506,17,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,447,109,2115,14,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,448,110,3245,22,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,449,111,3777,25,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,451,112,2005,14,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,454,113,1693,11,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,455,114,1801,12,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,456,115,2482,17,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,457,116,2253,15,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,458,117,1416,10,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,459,118,2190,15,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,463,119,1728,12,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,464,120,3057,21,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,468,121,2665,18,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,471,122,2272,15,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,472,123,1743,12,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,473,124,1168,8,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,474,125,2653,18,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,475,126,1401,10,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,476,127,1368,9,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,477,128,3681,25,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,478,129,2153,15,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,479,130,1612,11,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,482,131,2763,19,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,483,132,3322,22,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,484,133,2210,15,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,485,134,1500,10,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,486,135,1568,11,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,487,136,2650,18,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,488,137,2139,14,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,489,138,1340,9,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,490,139,1386,9,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,491,140,2117,14,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,492,141,2130,14,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
participant_speech,302,0,614,4,False,b369a9ce54810fe37ea9fef1de589c081879280cfa6997a569ff82e76cfe4eb8,participant_speech_b369a9ce54810fe3.npz
participant_speech,303,1,1965,13,False,b369a9ce54810fe37ea9fef1de589c081879280cfa6997a569ff82e76cfe4eb8,participant_speech_b369a9ce54810fe3.npz
participant_speech,304,2,987,7,False,b369a9ce54810fe37ea9fef1de589c081879280cfa6997a569ff82e76cfe4eb8,participant_speech_b369a9ce54810fe3.npz
participant_speech,305,3,3326,22,False,b369a9ce54810fe37ea9fef1de589c081879280cfa6997a569ff82e76cfe4eb8,participant_speech_b369a9ce54810fe3.npz
participant_speech,307,4,2595,17,False,b369a9ce54810fe37ea9fef1de589c081879280cfa6997a569ff82e76cfe4eb8,participant_speech_b369a9ce54810fe3.npz
participant_speech,310,5,1137,8,False,b369a9ce54810fe37ea9fef1de589c081879280cfa6997a569ff82e76cfe4eb8,participant_speech_b369a9ce54810fe3.npz
participant_speech,312,6,1204,8,False,b369a9ce54810fe37ea9fef1de589c081879280cfa6997a569ff82e76cfe4eb8,participant_speech_b369a9ce54810fe3.npz
participant_speech,313,7,751,5,False,b369a9ce54810fe37ea9fef1de589c081879280cfa6997a569ff82e76cfe4eb8,participant_speech_b369a9ce54810fe3.npz
participant_speech,315,8,1369,9,False,b369a9ce54810fe37ea9fef1de589c081879280cfa6997a569ff82e76cfe4eb8,participant_speech_b369a9ce54810fe3.npz
participant_speech,316,9,632,4,False,b369a9ce54810fe37ea9fef1de589c081879280cfa6997a569ff82e76cfe4eb8,participant_speech_b369a9ce54810fe3.npz
participant_speech,317,10,642,4,False,b369a9ce54810fe37ea9fef1de589c081879280cfa6997a569ff82e76cfe4eb8,participant_speech_b369a9ce54810fe3.npz
participant_speech,318,11,698,5,False,b369a9ce54810fe37ea9fef1de589c081879280cfa6997a569ff82e76cfe4eb8,participant_speech_b369a9ce54810fe3.npz
participant_speech,319,12,681,5,False,b369a9ce54810fe37ea9fef1de589c081879280cfa6997a569ff82e76cfe4eb8,participant_speech_b369a9ce54810fe3.npz
participant_speech,320,13,756,5,False,b369a9ce54810fe37ea9fef1de589c081879280cfa6997a569ff82e76cfe4eb8,participant_speech_b369a9ce54810fe3.npz
participant_speech,321,14,917,6,False,b369a9ce54810fe37ea9fef1de589c081879280cfa6997a569ff82e76cfe4eb8,participant_speech_b369a9ce54810fe3.npz
participant_speech,322,15,1567,11,False,b369a9ce54810fe37ea9fef1de589c081879280cfa6997a569ff82e76cfe4eb8,participant_speech_b369a9ce54810fe3.npz
participant_speech,324,16,871,6,False,b369a9ce54810fe37ea9fef1de589c081879280cfa6997a569ff82e76cfe4eb8,participant_speech_b369a9ce54810fe3.npz
participant_speech,325,17,1799,12,False,b369a9ce54810fe37ea9fef1de589c081879280cfa6997a569ff82e76cfe4eb8,participant_speech_b369a9ce54810fe3.npz
participant_speech,326,18,511,4,False,b369a9ce54810fe37ea9fef1de589c081879280cfa6997a569ff82e76cfe4eb8,participant_speech_b369a9ce54810fe3.npz
participant_speech,327,19,784,5,False,b369a9ce54810fe37ea9fef1de589c081879280cfa6997a569ff82e76cfe4eb8,participant_speech_b369a9ce54810fe3.npz
participant_speech,328,20,2028,14,False,b369a9ce54810fe37ea9fef1de589c081879280cfa6997a569ff82e76cfe4eb8,participant_speech_b369a9ce54810fe3.npz
participant_speech,330,21,482,3,False,b369a9ce54810fe37ea9fef1de589c081879280cfa6997a569ff82e76cfe4eb8,participant_speech_b369a9ce54810fe3.npz
participant_speech,331,22,1477,10,False,b369a9ce54810fe37ea9fef1de589c081879280cfa6997a569ff82e76cfe4eb8,participant_speech_b369a9ce54810fe3.npz
participant_speech,333,23,1350,9,False,b369a9ce54810fe37ea9fef1de589c081879280cfa6997a569ff82e76cfe4eb8,participant_speech_b369a9ce54810fe3.npz
participant_speech,335,24,1393,9,False,b369a9ce54810fe37ea9fef1de589c081879280cfa6997a569ff82e76cfe4eb8,participant_speech_b369a9ce54810fe3.npz
participant_speech,336,25,977,7,False,b369a9ce54810fe37ea9fef1de589c081879280cfa6997a569ff82e76cfe4eb8,participant_speech_b369a9ce54810fe3.npz
participant_speech,338,26,843,6,False,b369a9ce54810fe37ea9fef1de589c081879280cfa6997a569ff82e76cfe4eb8,participant_speech_b369a9ce54810fe3.npz
participant_speech,339,27,1012,7,False,b369a9ce54810fe37ea9fef1de589c081879280cfa6997a569ff82e76cfe4eb8,participant_speech_b369a9ce54810fe3.npz
participant_speech,340,28,590,4,False,b369a9ce54810fe37ea9fef1de589c081879280cfa6997a569ff82e76cfe4eb8,participant_speech_b369a9ce54810fe3.npz
participant_speech,341,29,1258,9,False,b369a9ce54810fe37ea9fef1de589c081879280cfa6997a569ff82e76cfe4eb8,participant_speech_b369a9ce54810fe3.npz
