participant_id,T001,T002,T003,T004,T005,T006,T007,T008,T009,T010,T011,T012,T013,T014,T015,T016,T017
382,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0
383,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
385,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0
386,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0
388,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0
389,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,1,1
390,0,2,0,1,1,1,1,0,1,0,1,0,0,0,0,1,1
391,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0
392,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0
393,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0
395,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0
397,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0
400,0,1,0,1,1,1,1,0,1,0,1,0,0,0,1,1,0
401,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0
402,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0
403,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
404,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0
406,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
409,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
412,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0
413,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0
414,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
415,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0
416,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0
417,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0
418,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1,1
419,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
420,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0
422,2,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
423,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0
425,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1
426,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1
427,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0
428,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,2,0
429,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,1,0
430,0,1,0,1,1,1,1,0,1,0,1,0,0,1,0,1,1
433,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0
434,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0
436,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0
437,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0
439,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
440,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1
441,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,2,1
443,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0
444,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
445,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
446,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
447,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0
448,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0
449,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0
455,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
456,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0
457,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0
458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
459,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1,1
463,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0
464,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
468,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0
471,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
472,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
473,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0
474,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0
475,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
476,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0
477,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0
478,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,1
479,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0
482,0,0,0,0,1,1,1,0,2,0,0,0,0,0,0,1,0
483,0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0
484,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1
485,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0
486,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0
487,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
488,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0
489,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0
490,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0
491,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0
492,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
