blind_id,line_number,participant_text_line
B001,104,uh i guess i've just been more negative but it has to do with like circumstances kind of like uh it's been about five months since i quit my full time job haven't found anything else haven't really found anything else i'm interested in
B001,105,so
B001,106,it's more of just like ugh what am i doing da da da that kind of thing
B001,107,yeah it's it is hard the market and just like i'm very picky 'cause i don't wanna just sittin in a little my own cubicle 'cause i quit my job exactly for that reason so why go back to another job just do the same exact thing that i quit my other job for
B001,108,so it's just like i have to make it worthwhile that i quit my last job to get a better job so it's just kinda like i'm stuck in this section of just like living paycheck to paycheck
B001,109,barely making it and just waiting for the right opportunity to come across but it's like
B001,110,when do i give up and sell my soul and go back to the corporate world of sitting in little cubicles i don't know
B001,111,yeah it is hard but i mean i guess everyone goes through that same situation after college so
B001,112,but i guess it's tough 'cause a lot of my friends 'cause i went to a pretty good school and you know i have a friend who's teaching english in afghanistan and i have another one who's met the president you know and one that's doing teach for america another friend who's in harvard uh school for like harvard masters [mass] you know getting her masters so it's kind of like ahh
B001,113,all that comparison and then here i am working a little restaurant job so
B001,114,uh i do sometimes yes but i'm going to hawaii next week so right now i'm fine [laughter]
B001,115,yes
B001,116,but yeah usually it's been kind of like down because
B001,117,i'm just trying to find like what
B001,118,i'm supposed to like you know what do i want to do next and like money situations which is very stressful especially when you have school loans to pay off insurance rent car loans like it's just groceries like i can't even afford groceries
B001,119,so it's just hard to like live this way especially after you've paid so much money for like an amazing college education so it's a little bit frustrating but there's a lot of people in the same situation
B001,120,it's all good
B001,121,uh no i don't think so but i mean
B001,122,i think everyone goes through depression here and there so i don't know if you can
B001,123,but not like medically diagnose i'm not on meds
B001,124,nope
B001,125,nope
B001,126,oh let's see
B001,127,uh to try lots of different things and not be afraid to fail
B001,128,'cause i'm one of those people if i'm not gonna be the best at something then i'm just not gonna try i accept the best or nothing at all go big or go home
B001,129,so but i think i would've told my high school self that go and try lots of things even if it means i'm not gonna be the best at it
B001,130,so
B001,131,ten years ago
B001,132,well that would've made me like twelve so
B001,133,[laughter] um i used to do a lot of things i i used to act
B001,134,i think i would've continued doing that i used to write a lot when i was younger i used to write miniature like little stories  short stories for my parents all the time
B001,135,and i kind of stopped doing those things 'cause it's like oh i'm not good at it so i'm not gonna do it
B001,136,and i think if i just continued doing those things and tried you know different classes
B001,137,um i don't know different sports i kinda just stuck with soccer growing up i don't know just
B001,138,expand myself more rather than like find something i'm good at and just stay with it but never really try harder
B001,139,kinda just like stay i always kinda stayed at one level but once i'm good i just stay for good
B001,140,i don't try to go above that
B001,141,if that makes any sense
B001,142,uh right now it's super lame but i watch t_v
B001,143,[laughter]
B001,144,but i used to read a i used to read on my off time or just listen to music or just take a nap
B001,145,or bake but now it's just like since i'm on my feet all day and like constantly interacting with people i just kinda wanna unwind by like sitting and lying on the couch and being like i'm done
B001,146,so
B001,147,[laughter]
B001,148,that's a tough question
B001,149,um probably the day i got accepted into pomona college
B001,150,um
B001,151,i was a freshman at wellesley college which is the women's college back east
B001,152,and i hated it from like the second from like the first week i just knew that i chose the wrong college and i was like miserable for the entire year
B001,153,and i only only applied to one school to transfer pomona college like that's out in claremont
B001,154,and um
B001,155,i didn't think i was gonna get in and i was 'cause it was like a four percent acceptance rate and i was like what are the chances like this is ridiculous i don't think i'm gonna get in
B001,156,and i was like you know the thought of going back to wellesley was super depressing
B001,157,um
B001,158,but then i got an email from one of the admission counselors that i had met when i was visiting pomona and he was like hi tatiana like
B001,159,um
B001,160,just wanted to see if you had any last minute questions about pomona hope all is well
B001,161,and i was like why would he be emailing me the day we find out if we got you know accepted or not
B001,162,um unless i got the acceptance and so sure enough a couple hours later i got the email that i was accepted into pomona and i was ecstatic that was like that best day of my life i was so happy
B001,163,that's probably one
B001,164,yeah
B001,165,it was awesome then i took my mom and my little brother out to dinner and i went and bought myself some new dresses went and just like went crazy dyed my hair pierced my nose i was like let's start this whole thing over so [laughter]
B001,166,yeah
B001,167,bubbly
B001,168,fun
B001,169,maybe moody you never know what you're gonna get sometimes um
B001,170,probably
B001,171,uh definitely friendly
B001,172,um and pretty like a positive person
B001,173,um
B001,174,but sometimes maybe a little bit
B001,175,aggressive but
B001,176,for the most part i think positive things i mean she's my best friend so [laughter]
B001,177,huh
B001,178,really happy
B001,179,oh when i was in mexico
B001,180,over winter well
B001,181,no i don't know
B001,182,my boyfriend took me on a sailing trip down in
B001,183,san clemente and that was really fun and we just like went sailing and walked around the missions hung out on the beach that was really fun
B001,184,that was a good time
B001,185,yeah it was cool
B001,186,[laughter] bye
B002,1,<synch>
B002,2,<sniffle>
B002,3,yeah i'm okay with it
B002,4,um i'm okay i'm okay um
B002,5,i guess
B002,6,scrubbed_entry
B002,7,i'm basically an l_a kinda guy
B002,8,cool
B002,9,um
B002,10,you know the weather it's usually pretty sunny and and temperate you know i like the the climate really a lot
B002,11,uh i like the girls here you know um
B002,12,i like uh let's see i don't like the traffic you know but
B002,13,um i like the hispanic population quite a bit you know um
B002,14,and i have a lot of friends here so i guess you know i don't wanna be anywhere else
B002,15,i mean like i said the traffic you know i was on the four o five you know that's always kinda you know crummy
B002,16,the cost of living that's really you know terrible about l_a it's always expensive
B002,17,and um
B002,18,you know i really don't like
B002,19,<sigh> i really don't like you know the the
B002,20,like it just seems like um l_a's one of those places where like you're you know you either have like a a you know a ton of money and fame and fortune or like you know you're down in the you know the ghettos you know
B002,21,i have i've been to a couple places um
B002,22,uh you know but very brief you know mostly it was for school
B002,23,um i went to arizona and new york and montana lot of the anthropology like you know and archaeology field trips and things like that
B002,24,um nothing i'm doing in right now
B002,25,uh i like getting away from um <laughter> the city you know i was in yosemite last year you know in the summer for vacation that was kinda nice you know yosemite was really um
B002,26,really neat to see but uh just basically getting away from the city i guess you know getting away from the job getting away from um the stress here
B002,27,uh i actually studied political science and i also studied economics um
B002,28,i'm a big kind of a political you know junkie you know to begin with so i naturally kinda fell in line with that kinda field of study
B002,29,i was i was but i lost my job
B002,30,and you know that's kind of a bummer you know um i lost it's uh
B002,31,geez
B002,32,it's already been maybe a year and a half by now maybe two years and
B002,33,um
B002,34,you know the economy uh got bad and the budget cuts got bad
B002,35,and you know um i wish i was working there again
B002,36,uh
B002,37,<laughter>
B002,38,well i um wanted to be a lawyer at one time i wanted to be a lawyer and i um
B002,39,and that's why i took political science and i took a double major in economics
B002,40,and uh the sad thing is the sad thing i i regret is i eh you know to get into law school you have to take this entrance exam called the lsats
B002,41,and i studied for it like really hardcore you know for about a year and i took the xxx test and like a idiot um i didn't feel right about the that day it was kind of an off day
B002,42,and you know it was like you know the big game at the superbowl you <y> you know i just um i don't <do> i don't feel like i did well and i canceled the test and so um
B002,43,you know i kinda regret that you know
B002,44,<laughter> tell me about it
B002,45,um i'm not really shy at all i'm definitely not shy um
B002,46,but outgoing i mean not one of these people <peo> i'm not flamboyent you know um i i'll talk to people i don't mind talking to people i don't mind
B002,47,um meeting <mee> meeting people that's fine with me but it's not like i'm you know dying to to dying to meet anybody <laughter> you know <laughter>
B002,48,i guess
B002,49,um these days uh you know i play guitar you know i taught myself how to play guitar
B002,50,um
B002,51,uh yeah thank you thank you i you know i i should've i should actually be doing more of it
B002,52,but i also like to exercise um uh i'm on a diet right now but my diet's been terrible time the eating habits have been terrible
B002,53,but the exercise part is just great i love to exercise <exerci> i love to run that's one of my best things to do for stress is like run and like work out
B002,54,um i just wish that my eating habits were were in line uh or a little bit better you know
B002,55,<sniffle>
B002,56,um <sigh> my temper could be you know definitely improved uh a lot you know um
B002,57,you know a lotta times i i feel i'm one of these introvert types persons when it comes to like you know i don't mind being extrovert or like meeting people and like having a good time whatever
B002,58,when uh when i'm mad i really don't wanna be you know talking to people i don't like to yell i don't like to scream i don't like to hit i don't like to fight i kinda close down a lot i don't i just wanna be left alone
B002,59,sometimes i tend to drag it on for longer than it should be
B002,60,you know uh the wife doesn't like it too much and maybe i you know i just don't i just don't wanna talk about it <laughter> i just don't wanna deal with it
B002,61,i kinda close down and shut you know
B002,62,shut off for a little bit
B002,63,geez
B002,64,um
B002,65,you know it doesn't happen too often
B002,66,maybe with my wife
B002,67,you know we were probably something silly who knows
B002,68,who knows
B002,69,um
B002,70,the
B002,71,thing i i mean i don't have a lotta guilt i don't do anything like to make me ever feel like you know that bad of a person you know um
B002,72,there are things that like you know um i call minor sins
B002,73,you know i get white lies or whatever you know but like nothing like so atrocious that makes me feel like guilty
B002,74,um
B002,75,let's see i guess
B002,76,sometimes you know um
B002,77,you know i i'm a married guy but i you know sometimes there are times you know i like to
B002,78,you know smile at a girl or like you know get a girl's attention you know i don't know i never go i never do anything about it i never get their phone number or like you know but
B002,79,sometimes i like to like
B002,80,talk to people i guess
B002,81,you know
B002,82,well that's a good question
B002,83,i guess
B002,84,i guess you know see i always handle it the same there's not i don't ever wish to ever to ever change i i never wanna like handle things differently
B002,85,i always kinda i'm pretty comfortable the way i handle things and you know i think that um i could be a lot worse and like you know shouting and screaming and hitting and this and that
B002,86,and that's just not me um you know i think the best thing to do you know is kinda like
B002,87,get a lot of breathing room a lotta space and um i don't wish for that to change or to handle any of that differently i just don't basically know what else to do
B002,88,you know um
B002,89,and you know the last thing i wanna do is start talking about you know feelings or any of this you know that's the last thing i wanna do and so like i don't wish that i handle things like that differently in that way
B002,90,well um you know i'm pretty happy with my family right now um you know if i'm married and we have a baby along the way
B002,91,which is kinda nice
B002,92,um we have some cats thank you thank you we have cats and a dog a weenie dog and um my mom i i love my mom dearly
B002,93,um
B002,94,uh she has diabetes which you know she doesn't control
B002,95,you know she doesn't control it and like it like uh it affects her health and it always has me worried about her and like stressing out about her and and she could do so much to like prevent it and she doesn't and
B002,96,um you know i have a good relationship with my mom i i love her dear dearly and i actually have a good relationship with everybody i think
B002,97,i think i have a ton <to> ton of of family and friends um
B002,98,that get along with me pretty well actually you know
B002,99,yeah
B002,100,um <sigh> there are times well i mean it's pretty easy for me to go to sleep actually i i feel like you know i sleep like a baby
B002,101,um the only problem i have
B002,102,i think
B002,103,is i feel
B002,104,like um you know sometimes like you fall asleep and you have you you're just going to sleep and you kinda like jolt you know like you almost kinda like fall eh it's like a falling sensation or something like that
B002,105,and it doesn't happen eh that often but it happens
B002,106,and um but for the most time <ti> part um no i sleep like a rock i sleep really good
B002,107,<sniffle>
B002,108,well right now generally i've been feeling um
B002,109,worried and and anxious and um
B002,110,you know uh and tense and the reason why is 'cause i said my mom um right well at least today
B002,111,well i found out my mom something she didn't tell me the whole story and i'm kinda waiting 'til this is over so we can i can find out what's wrong with her
B002,112,but um
B002,113,you know i'm worried about her she's in the hospital <ho> she's in the doctors right now so that doesn't tell me anything good
B002,114,and um you know um trying to find a job so that has me worried too
B002,115,and you know the baby along the way so that has me worried so i feel like <sharp inhale> you know overwhelmed with a just a lotta like you know things to do and like
B002,116,and um
B002,117,a lot on my a lot on my plate and like a lot of it doesn't have anything to do with me but i have to handle it like you know so like i guess
B002,118,well um i keep myself distracted i keep myself busy i i feel like a busybody you know and the more um which kinda seems <se> you know seems like it's not a good thing because i feel like i'm just adding more things on my plate
B002,119,so
B002,120,um
B002,121,you know like one of the things i do is like exercise and so i have to work out every day you know but that takes an hour that takes an hour to like you know change <ch> change and you just start running and like go through the whole thing of stretching and and cooling down that takes it takes some time and then like to shower
B002,122,all that kinda stuff takes <ta> takes time so but i have to do it daily so i cope with it in that way
B002,123,i also cope with it too you know playing guitar but that just
B002,124,more of a distraction you know what i mean keeping you know keeping busy that way it just seems like it's not
B002,125,you know um working towards you know the goals
B002,126,you know that i need to do like you know finding <f> finding a job which i should be doing but then um
B002,127,you know it's one of those things where like i find like there's no good jobs i've been looking and looking and like sometimes when i do it it it's just not what i wanna do it just doesn't seem
B002,128,like
B002,129,<laughter> like i wanna like uh
B002,130,do any of these like terrible jobs
B002,131,i xxx it's you know it's it's
B002,132,probably harder than i'm thinking about it because sometimes i i i feel like um
B002,133,you know one of these things is like uh
B002,134,i feel like um it is hard
B002,135,but it's not i mean there are ways i can cope with it
B002,136,you know i just gotta kinda i kind of accepted it a lot you know i kinda internalized it
B002,137,and like uh you know
B002,138,it's not something that's like i'm not out on the streets or anything like that <laughter> but uh you know it is a worry
B002,139,i've never been diagnosed with p_t_s_d i used to work with
B002,140,no
B002,141,no
B002,142,<grumble>
B002,143,man
B002,144,<sigh>
B002,145,uh ten years ago <laughter> i don't know uh let's see the last time i was really happy maybe
B002,146,i mean nothing i feel like nothing makes me happy no more you know um i learned a new song on the guitar feel <fe> i i feel like
B002,147,not even happy about that you know i feel like um
B002,148,you know i work sometimes and that kinda makes me happy you know running like you know fast and working out but that doesn't make me so excited or anything like that
B002,149,it just makes me feel good
B002,150,you know so i i have these these
B002,151,these times where i'm just you know feeling good
B002,152,about myself and i'm feeling you know but i'm never feeling great i'm never feeling happy i'm never feeling like so sensationalized like you know and and
B002,153,and uh you know
B002,154,incredible that you know um it just eh
B002,155,you know there's these there's these mild times where there's a a few good times
B002,156,you know and a few bad times but the good times are no never <n> never <ne> never extremes
B002,157,you know never really good times and never really you know atrocious bad times you know
B002,158,well i wish this diet would work out a little bit better you know but that's kinda hard you know 'cause i'm the kinda guy who just likes
B002,159,who just likes you know um you know rice and and like uh mexican food and like <sharp inhale> you know um and to snack and uh
B002,160,i don't know um i just feel like that could i could change i wish i could change my eating habits that way i can
B002,161,like you know 'cause i work out so much i feel like i do so much running and so much activity that like um you know
B002,162,that if i got my you know diet in check um
B002,163,you know that that would um go a long way um i wish i also can change you know um
B002,164,my <m> my
B002,165,my uh
B002,166,i guess my my
B002,167,desire to like you know get ahead like right now i feel just so um like the economy's so bad
B002,168,and like things are so um rough that
B002,169,you know it's like pointless to even like you know look for these kinda jobs so like
B002,170,it just seems like i just wish i had a little bit more inspiration a lot more motivation to like
B002,171,to um <laughter>
B002,172,<sigh> do things
B002,173,<sniffle>
B002,174,the one thing i regret is is not
B002,175,is not um you know is this this lsat thing you know um
B002,176,you know
B002,177,not uh uh canceling the test to begin with 'cause i'm sure i could've got into a a school but then again like you know it has me thinking like do i really wanna pay a bunch of like you know law school tuition and the cost of that and like
B002,178,you know just to um
B002,179,just to be piled on with more work and things like that eh
B002,180,i don't know <sigh> it just doesn't seem like
B002,181,like uh
B002,182,i mean there is a this idea of justice and
B002,183,and um and republicanism
B002,184,and you know things that i really you know adhere to
B002,185,that um i fall in love with
B002,186,and that i don't wanna get away from
B002,187,but it just seems like it's a like it's a ton of work and money
B002,188,and just to like um it for the smalls percentage of success that
B002,189,that you know you might not be really doing that kinda field you might you know i might <mi> it just doesn't seem like
B002,190,like um it's worth overcoming the obstacles i need to overcome
B002,191,ugh <sigh>
B002,192,i have no idea i would <laughter> i would <wou> twenty years ago i would tell myself maybe
B002,193,um
B002,194,you know i think i've done everything really well for myself except for the the lsat thing you know which i i
B002,195,you know regret on one hand on the other hand
B002,196,you know i i'm not sure if i regret 'cause like eh about the bills and all that kinda stuff i told you about
B002,197,and you know
B002,198,i think uh you know i i've waited to get married i waited to have a kid
B002,199,i've i've you know pretty cautious about the decisions <deci> you know i don't take drugs i don't drink i don't fight i don't do any of these like things that like you know that
B002,200,i think that real people have you know
B002,201,um and then they they really like you know ruin their life you know so like
B002,202,i'm pretty happy and content with
B002,203,being you know the cautious you know
B002,204,uh
B002,205,<sigh>
B002,206,i don't know
B002,207,oh my best friend i think he he kinda like <li> he likes me he wishes that i would do more things with him but he works at night
B002,208,and and you know it's one of those things i think most people not just my best friend but my wife and might be but rest of my family
B002,209,feel that i don't put a lot of
B002,210,time and attention to them i mean they think that i'm pretty great when i do give 'em the my
B002,211,time of day and my attention but um i don't know if i'm really there all the time you know i don't know if i'm really
B002,212,you know i'm always thinking about something else i'm always thinking about something different
B002,213,i don't <don> i don't know if i really can give 'em eh a a real
B002,214,you know shoulder to cry on or you know if they ask for something you know i'll i'll usually do it
B002,215,you know but i almost feel like it's like a chore like you know like if they
B002,216,you know
B002,217,if they really need me then i'll do it you know eh if they're just asking for a favor
B002,218,i almost feel you know i do it half you know with a lotta lackluster lotta half-heartedness
B002,219,i just feel <f> and it's not because i hate 'em or anything i really like 'em it's just that i feel like
B002,220,i almost i don't wanna say i owe it to them but the mere fact that i'm their friend makes them somehow um
B002,221,you know uh
B002,222,like i eh it it makes me like you know they rely on me some you know times or like i don't wanna let 'em down they are my friends
B002,223,but it's the same time i i just feel like it's
B002,224,it's more it's not it's not it's more of like a chore to do instead of a
B002,225,a willingness like a oh my god like i just wanna help you it's never <ne> it's never like that it's just something that i do because i have <ha> kinda have to you know you gotta you know
B002,226,gotta do things for your friends you know in the end because they're your friends you know and i in in the end i do like 'em and they probably would do it for me
B002,227,and i you know so i just do these things you know just
B002,228,um well there are a couple a things that i do like uh that i've good <go> i feel good about myself you know
B002,229,um you know i ran the l_a marathon that kinda feels good you know
B002,230,i've graduated from college that kinda feels good you know what i mean but the thing is i don't feel like
B002,231,like that proud of myself
B002,232,for you know those things alone like graduating from college
B002,233,you know hasn't really made me successful you know what i mean
B002,234,um
B002,235,running the marathon hasn't made me thin and trim
B002,236,so they're like half merits
B002,237,you know or like they're they're great you know lotta people maybe not half done it a lotta people have excelled further
B002,238,but um
B002,239,you know they're kinda like stepping stones that like
B002,240,that um i've seal real new no
B002,241,life <l> lifelong
B002,242,benefit from doing other than the fact that i can say that i've done
B002,243,yeah yeah no problem no problem thank you for your time you know um hope you enjoy you know uh being in this computer
B002,244,<laughter>
B002,245,oh goodbye
B002,246,i'm gonna press this button now
B003,1,<synch>
B003,2,yes
B003,3,pretty good
B003,4,alexandria virginia
B003,5,mhm
B003,6,uh i moved to l_a uh
B003,7,end of two thousand one
B003,8,yeah it's crazy <laughter>
B003,9,um
B003,10,a couple times a year usually like for holidays
B003,11,hmm <sigh> it is <sigh> it's very different um
B003,12,i think it's a lot more mellow
B003,13,um it's way more like suburbia
B003,14,it's nice
B003,15,um it there's something comforting about it but it's always like i get a little restless when i'm there and look forward to coming back here where there's a little more action <sniffle>
B003,16,i went to um grad school at u_s_c
B003,17,um it was it wasn't bad i mean my my program that i was in
B003,18,was so intense that
B003,19,like for the first year
B003,20,it was so all consuming that i really didn't have much spare time to think about the adjustment it was just like i <laughter> my life was not my own so
B003,21,that made it kind of
B003,22,um easier i guess and also i was like in a community of people that i went to school with so automatically i knew people and you know made friends and stuff so
B003,23,it wasn't bad
B003,24,film
B003,25,hmm <sigh> i uh had an epiphany one day um i was out of undergrad
B003,26,i was kinda floundering a little bit i didn't really know what i wanted to do
B003,27,and um
B003,28,just one day i kinda was like you know what am i really excited about what am i really passionate about
B003,29,and um
B003,30,i realized that movies <m> movies are the thing that i love the most and am most passionate about so that is how i decided to go to film school
B003,31,um a little bit yes and no it's i don't i'm so <s> i'm like in a little bit of a transitional period right now but yeah like for the last several years i've been uh producing like freelance producer <sniffle>
B003,32,<sigh> that is so the question of the moment <laughter> um
B003,33,i think that uh
B003,34,i don't necessarily have like a a job title that's my dream job but i knowit's sort of
B003,35,what um
B003,36,i want and 'cause basically like i've been living a freelance lifestyle for a while and i know that that is like exhausting and i don't wanna do that anymore so i'm looking for something that's stable
B003,37,um you know full time
B003,38,nice benefits and um i definitely wanna stay in the entertainment industry
B003,39,um
B003,40,and i like you know what i love about producing is that it's just like there's constant challenges and you sort of never know
B003,41,what is gonna get thrown at you that i that's you know it's always interesting and exciting
B003,42,um so i'm sort of trying to figure out right now what would be a good
B003,43,place for me to be where i can be reasonably challenged and you know have sort of a
B003,44,like room to to grow and advance and all that
B003,45,<sniffle>
B003,46,yeah
B003,47,<laughter> i can't see your shoes um i
B003,48,i like to travel um
B003,49,i don't know that i haven't really been doing it a lot lately but i have you know in the past
B003,50,done a fair amount
B003,51,um
B003,52,i love the adventure of it just you know new experiences new places new people
B003,53,um i think it's just good to sort of get out of your little insular world and see what's out there and just you know
B003,54,see
B003,55,beautiful remarkable
B003,56,places and just and things and just experience different ways of living and different languages and different cultures <sniffle>
B003,57,um
B003,58,let's see i went to costa rica a couple years ago
B003,59,um
B003,60,my like best friend from growing up she and i went for like ten days  and it was that's probably
B003,61,that might be like my
B003,62,favorite trip of all time <laughter> like it was really awesome but <laughter> costa rica is just like amazing and beautiful
B003,63,um
B003,64,and we just spent like
B003,65,we went to three different places and um just did a lot of exploring and like sightseeing we did a ton of hiking which was amazing
B003,66,and then like the last place where we ended up was this little beach town so by that point it was like we felt like you know we had done all this like amazing physical exertion like doing ziplines and all these hikes so that by the time we got to the beach it was like
B003,67,we've earned the right to just like kick back and relax and you know so it was just it kind of
B003,68,it hit all of the
B003,69,you know it like fed that sort of desire for adventure and activity um but it also
B003,70,i'm also a big fan of vacations where you just like veg out and relax and like lie on a beach with a book so it sort of hit everything
B003,71,<sniffle>
B003,72,<laughter>
B003,73,what do i do to relax um
B003,74,<sigh>
B003,75,i i mean depending where i am like if it's you know if i'm like at work or something and i'm stressed out i just will
B003,76,you know
B003,77,kinda take a minute and just like breathe really deeply and try to just calm myself down that way
B003,78,um
B003,79,if i'm home i might just like
B003,80,you know
B003,81,throw on a movie or like a t_v show that i really like and just that gives a sense of like
B003,82,sort of escape relief
B003,83,<sniffle>
B003,84,um pretty good i don't i mean
B003,85,eh it takes a lot to get me very angry it doesn't happen very often
B003,86,<sniffle>
B003,87,um
B003,88,the last time i argued with someone was <laughter> my mom and it was about money <laughter> <deep breath>
B003,89,um
B003,90,i felt really frustrated because i felt like she was
B003,91,like judging me unfairly
B003,92,and that was upsetting
B003,93,yeah <laughter>
B003,94,um
B003,95,it's good uh you know they live across the country from me so i don't get to see them that often but like i usually talk to
B003,96,my mom on the phone probably like once a week and
B003,97,my parents are really supportive <sigh> um
B003,98,they are
B003,99,you know like when i go back home to visit like i enjoy <en> i enjoy hanging out with them we have a good time
B003,100,um so i'd say we have a pretty
B003,101,pretty good relationship
B003,102,<deep breath> something i feel guilty about um <sigh> <makes sounds with mouth>
B003,103,i guess because i'm like in this
B003,104,sort of job hunting
B003,105,phase i feel guilty sometimes that i'm not like
B003,106,doing enough you know like there are times where like there are days where maybe like i should've
B003,107,sent out a few more resumes or done more stuff like i i feel guilty sometimes for not being like productive enough <sniffle>
B003,108,<deep breath> um <sigh>
B003,109,usually it's pretty easy the last the last couple weeks like has been uncharacteristically like not as good
B003,110,i'm not really sure i haven't figured it out
B003,111,but um i've just had more
B003,112,uh
B003,113,like nights where
B003,114,it either
B003,115,takes me a really long time to go to sleep or i wake up in the middle of the night for no reason
B003,116,um
