representation,repeat,outer_fold,subset,inner_fold,alpha,mean_inner_mse,selected
tfidf,1,1,Q+R+D,2,0.1,0.25544094463518374,False
tfidf,1,1,Q+R+D,3,1.0,0.1149100749897502,False
tfidf,1,1,Q+R+D,4,10.0,0.054009602698784374,False
tfidf,1,1,Q+R+D,5,100.0,0.030464869165781356,True
tfidf,1,1,P+Q+R+D,1,0.01,0.6446208055613383,False
tfidf,1,1,P+Q+R+D,2,0.1,0.25645871582388446,False
tfidf,1,1,P+Q+R+D,3,1.0,0.08907966907544063,False
tfidf,1,1,P+Q+R+D,4,10.0,0.03481389453959013,False
tfidf,1,1,P+Q+R+D,5,100.0,0.02614996494269707,True
tfidf,1,2,P,1,0.01,0.1593805616972314,False
tfidf,1,2,P,2,0.1,0.15937765990699845,False
tfidf,1,2,P,3,1.0,0.15935261659123898,True
tfidf,1,2,P,4,10.0,0.15941553513895146,False
tfidf,1,2,P,5,100.0,0.16565333347604339,False
tfidf,1,2,Q,1,0.01,0.11619286494820098,False
tfidf,1,2,Q,2,0.1,0.11609442872960485,False
tfidf,1,2,Q,3,1.0,0.11594784946614499,True
tfidf,1,2,Q,4,10.0,0.12143957652355208,False
tfidf,1,2,Q,5,100.0,0.1425296352971809,False
tfidf,1,2,R,1,0.01,0.06989269414632758,False
tfidf,1,2,R,2,0.1,0.06472561252110785,False
tfidf,1,2,R,3,1.0,0.051485457094300774,False
tfidf,1,2,R,4,10.0,0.04112276977827272,False
tfidf,1,2,R,5,100.0,0.032067877406541316,True
tfidf,1,2,D,1,0.01,0.1680326809222362,False
tfidf,1,2,D,2,0.1,0.16795586848924604,False
tfidf,1,2,D,3,1.0,0.16722051612446198,False
tfidf,1,2,D,4,10.0,0.16221787389453116,False
tfidf,1,2,D,5,100.0,0.15845354889310323,True
tfidf,1,2,P+Q,1,0.01,0.12634496100090703,False
tfidf,1,2,P+Q,2,0.1,0.12593851169801193,False
tfidf,1,2,P+Q,3,1.0,0.12349760029455152,False
tfidf,1,2,P+Q,4,10.0,0.12101200194702076,True
tfidf,1,2,P+Q,5,100.0,0.13221864194761385,False
tfidf,1,2,P+R,1,0.01,0.06081305015425669,False
tfidf,1,2,P+R,2,0.1,0.05675527497255725,False
tfidf,1,2,P+R,3,1.0,0.044813354978791624,False
tfidf,1,2,P+R,4,10.0,0.033695810539609364,False
tfidf,1,2,P+R,5,100.0,0.030418542667143337,True
tfidf,1,2,P+D,1,0.01,0.17796384187492795,False
tfidf,1,2,P+D,2,0.1,0.1778470796131081,False
tfidf,1,2,P+D,3,1.0,0.1767251000818191,False
tfidf,1,2,P+D,4,10.0,0.1688330851870101,False
tfidf,1,2,P+D,5,100.0,0.1594278346531315,True
tfidf,1,2,Q+R,1,0.01,0.1154576615045657,False
tfidf,1,2,Q+R,2,0.1,0.08939150358144793,False
tfidf,1,2,Q+R,3,1.0,0.052926621606652076,False
tfidf,1,2,Q+R,4,10.0,0.03544054907669203,False
tfidf,1,2,Q+R,5,100.0,0.03038836917325487,True
tfidf,1,2,Q+D,1,0.01,0.13152767294829107,False
tfidf,1,2,Q+D,2,0.1,0.1303888373960905,False
tfidf,1,2,Q+D,3,1.0,0.12268640941616375,False
tfidf,1,2,Q+D,4,10.0,0.1083574944577295,True
tfidf,1,2,Q+D,5,100.0,0.119270596516125,False
tfidf,1,2,R+D,1,0.01,0.2119883978914955,False
tfidf,1,2,R+D,2,0.1,0.14773283400605072,False
tfidf,1,2,R+D,3,1.0,0.0743203214203814,False
tfidf,1,2,R+D,4,10.0,0.03951115337142621,False
tfidf,1,2,R+D,5,100.0,0.03060609537283267,True
tfidf,1,2,P+Q+R,1,0.01,0.4844276514418602,False
tfidf,1,2,P+Q+R,2,0.1,0.13660224973211887,False
tfidf,1,2,P+Q+R,3,1.0,0.050010168851021775,False
tfidf,1,2,P+Q+R,4,10.0,0.0380893745187885,False
tfidf,1,2,P+Q+R,5,100.0,0.030488357494635344,True
tfidf,1,2,P+Q+D,1,0.01,0.11919141428743228,False
tfidf,1,2,P+Q+D,2,0.1,0.11873318732261677,False
tfidf,1,2,P+Q+D,3,1.0,0.11604998059279177,False
tfidf,1,2,P+Q+D,4,10.0,0.11020285766292537,True
tfidf,1,2,P+Q+D,5,100.0,0.11622789759160478,False
tfidf,1,2,P+R+D,1,0.01,0.11861816280264235,False
tfidf,1,2,P+R+D,2,0.1,0.10897989338685364,False
tfidf,1,2,P+R+D,3,1.0,0.07362382619490716,False
tfidf,1,2,P+R+D,4,10.0,0.040505692571700364,False
tfidf,1,2,P+R+D,5,100.0,0.03333246239240675,True
tfidf,1,2,Q+R+D,1,0.01,0.5489541265320007,False
tfidf,1,2,Q+R+D,2,0.1,0.21220086722284712,False
tfidf,1,2,Q+R+D,3,1.0,0.08345097908163941,False
tfidf,1,2,Q+R+D,4,10.0,0.03877925891396886,False
tfidf,1,2,Q+R+D,5,100.0,0.028820238484758103,True
tfidf,1,2,P+Q+R+D,1,0.01,0.5707269922810924,False
tfidf,1,2,P+Q+R+D,2,0.1,0.268437285710508,False
tfidf,1,2,P+Q+R+D,3,1.0,0.11456767557910369,False
tfidf,1,2,P+Q+R+D,4,10.0,0.043184196291138316,False
tfidf,1,2,P+Q+R+D,5,100.0,0.03145773278007686,True
tfidf,1,3,P,1,0.01,0.10112635373736423,False
tfidf,1,3,P,2,0.1,0.1011255147689444,False
tfidf,1,3,P,3,1.0,0.10112235551353788,True
tfidf,1,3,P,4,10.0,0.10149976989331266,False
tfidf,1,3,P,5,100.0,0.11171560548336416,False
tfidf,1,3,Q,1,0.01,0.11956452084468021,False
tfidf,1,3,Q,2,0.1,0.11922381161576241,False
tfidf,1,3,Q,3,1.0,0.11718605922826862,False
tfidf,1,3,Q,4,10.0,0.11665430746049599,True
tfidf,1,3,Q,5,100.0,0.12006223148502482,False
tfidf,1,3,R,1,0.01,0.06354715265300055,False
tfidf,1,3,R,2,0.1,0.05988543483484632,False
tfidf,1,3,R,3,1.0,0.04603612359735091,False
tfidf,1,3,R,4,10.0,0.033734704405266,False
tfidf,1,3,R,5,100.0,0.03023626213862272,True
tfidf,1,3,D,1,0.01,0.12652672636869858,False
tfidf,1,3,D,2,0.1,0.1264279661563297,False
tfidf,1,3,D,3,1.0,0.12548171016173423,False
tfidf,1,3,D,4,10.0,0.11893751767891947,False
tfidf,1,3,D,5,100.0,0.11096971453183396,True
tfidf,1,3,P+Q,1,0.01,0.09150112512799607,False
tfidf,1,3,P+Q,2,0.1,0.09131302204525416,False
tfidf,1,3,P+Q,3,1.0,0.0899939289350599,False
tfidf,1,3,P+Q,4,10.0,0.08820770468213078,True
tfidf,1,3,P+Q,5,100.0,0.0998506662020693,False
tfidf,1,3,P+R,1,0.01,0.08007705232470187,False
tfidf,1,3,P+R,2,0.1,0.07531763108495622,False
tfidf,1,3,P+R,3,1.0,0.06054528401288393,False
tfidf,1,3,P+R,4,10.0,0.04247123210367212,False
tfidf,1,3,P+R,5,100.0,0.032800952798936425,True
tfidf,1,3,P+D,1,0.01,0.10665416032775528,False
tfidf,1,3,P+D,2,0.1,0.10659391879680068,False
tfidf,1,3,P+D,3,1.0,0.10601716077724511,False
tfidf,1,3,P+D,4,10.0,0.10206458733194639,False
tfidf,1,3,P+D,5,100.0,0.09977655111735122,True
tfidf,1,3,Q+R,1,0.01,0.08514610884522648,False
tfidf,1,3,Q+R,2,0.1,0.07198822895034465,False
tfidf,1,3,Q+R,3,1.0,0.0558397211408859,False
tfidf,1,3,Q+R,4,10.0,0.03821790429003632,False
tfidf,1,3,Q+R,5,100.0,0.02905601061662121,True
tfidf,1,3,Q+D,1,0.01,0.10713828728625986,False
tfidf,1,3,Q+D,2,0.1,0.10681683113425977,False
tfidf,1,3,Q+D,3,1.0,0.10423269317059829,False
tfidf,1,3,Q+D,4,10.0,0.09246742109509888,False
tfidf,1,3,Q+D,5,100.0,0.09188844833849158,True
tfidf,1,3,R+D,1,0.01,0.31319390844939293,False
tfidf,1,3,R+D,2,0.1,0.16596169607826824,False
tfidf,1,3,R+D,3,1.0,0.061508986482134875,False
tfidf,1,3,R+D,4,10.0,0.03363112049381853,False
tfidf,1,3,R+D,5,100.0,0.02673427764453172,True
tfidf,1,3,P+Q+R,1,0.01,0.37332283429471697,False
tfidf,1,3,P+Q+R,2,0.1,0.13686619352883803,False
tfidf,1,3,P+Q+R,3,1.0,0.05646803202829153,False
tfidf,1,3,P+Q+R,4,10.0,0.037130930120406476,False
tfidf,1,3,P+Q+R,5,100.0,0.029867636515192492,True
tfidf,1,3,P+Q+D,1,0.01,0.11696153839379768,False
tfidf,1,3,P+Q+D,2,0.1,0.11071865864350261,False
tfidf,1,3,P+Q+D,3,1.0,0.09965050696695482,False
tfidf,1,3,P+Q+D,4,10.0,0.089362236144639,False
tfidf,1,3,P+Q+D,5,100.0,0.08484889860427526,True
tfidf,1,3,P+R+D,1,0.01,0.2363961281261002,False
tfidf,1,3,P+R+D,2,0.1,0.16799844807525047,False
tfidf,1,3,P+R+D,3,1.0,0.10322628960719372,False
tfidf,1,3,P+R+D,4,10.0,0.043842854708645414,False
tfidf,1,3,P+R+D,5,100.0,0.028926831496009168,True
tfidf,1,3,Q+R+D,1,0.01,0.4137835414194398,False
tfidf,1,3,Q+R+D,2,0.1,0.1877991625222278,False
tfidf,1,3,Q+R+D,3,1.0,0.09197917105708371,False
tfidf,1,3,Q+R+D,4,10.0,0.042177669395319445,False
tfidf,1,3,Q+R+D,5,100.0,0.029824633167405374,True
tfidf,1,3,P+Q+R+D,1,0.01,0.6631469330781311,False
tfidf,1,3,P+Q+R+D,2,0.1,0.264126692051837,False
tfidf,1,3,P+Q+R+D,3,1.0,0.08536807148060073,False
tfidf,1,3,P+Q+R+D,4,10.0,0.039675999296524746,False
tfidf,1,3,P+Q+R+D,5,100.0,0.03093137310657626,True
tfidf,1,4,P,1,0.01,0.13866771925058344,False
tfidf,1,4,P,2,0.1,0.13866078611769184,False
tfidf,1,4,P,3,1.0,0.13859794799901984,False
tfidf,1,4,P,4,10.0,0.13848519861296357,True
tfidf,1,4,P,5,100.0,0.14735784134403498,False
tfidf,1,4,Q,1,0.01,0.13751979363654251,True
tfidf,1,4,Q,2,0.1,0.1392621575407727,False
tfidf,1,4,Q,3,1.0,0.14728837169571327,False
tfidf,1,4,Q,4,10.0,0.15388150558972738,False
tfidf,1,4,Q,5,100.0,0.15283014693678662,False
tfidf,1,4,R,1,0.01,0.11031752554827821,False
tfidf,1,4,R,2,0.1,0.08190268009661893,False
tfidf,1,4,R,3,1.0,0.04472058164315274,False
tfidf,1,4,R,4,10.0,0.03426225718227185,False
tfidf,1,4,R,5,100.0,0.030108098552477508,True
tfidf,1,4,D,1,0.01,0.11840836802044437,False
tfidf,1,4,D,2,0.1,0.1183781478000037,False
tfidf,1,4,D,3,1.0,0.11809336189756175,False
tfidf,1,4,D,4,10.0,0.11653363302685753,True
tfidf,1,4,D,5,100.0,0.12543894966577906,False
tfidf,1,4,P+Q,1,0.01,0.09623519882913534,True
tfidf,1,4,P+Q,2,0.1,0.0964246419064847,False
tfidf,1,4,P+Q,3,1.0,0.10153390272863642,False
tfidf,1,4,P+Q,4,10.0,0.11030952639012644,False
tfidf,1,4,P+Q,5,100.0,0.1209833898278802,False
tfidf,1,4,P+R,1,0.01,0.04255066026937563,False
tfidf,1,4,P+R,2,0.1,0.04082854588679907,False
tfidf,1,4,P+R,3,1.0,0.03652365923404773,False
tfidf,1,4,P+R,4,10.0,0.03175076444333174,False
tfidf,1,4,P+R,5,100.0,0.030797851434155993,True
tfidf,1,4,P+D,1,0.01,0.11717335044546308,False
tfidf,1,4,P+D,2,0.1,0.11711962673950076,False
tfidf,1,4,P+D,3,1.0,0.11661097471983232,False
tfidf,1,4,P+D,4,10.0,0.11352285890076791,True
tfidf,1,4,P+D,5,100.0,0.11938281757318044,False
tfidf,1,4,Q+R,1,0.01,0.1815344952539624,False
tfidf,1,4,Q+R,2,0.1,0.10975950986166039,False
tfidf,1,4,Q+R,3,1.0,0.06166549095743548,False
tfidf,1,4,Q+R,4,10.0,0.04020515697106818,False
tfidf,1,4,Q+R,5,100.0,0.033278429785452195,True
tfidf,1,4,Q+D,1,0.01,0.11206530252679497,False
tfidf,1,4,Q+D,2,0.1,0.09854809000571069,False
tfidf,1,4,Q+D,3,1.0,0.07909700997488738,True
tfidf,1,4,Q+D,4,10.0,0.0828160979528273,False
tfidf,1,4,Q+D,5,100.0,0.0984531945331073,False
tfidf,1,4,R+D,1,0.01,0.6767739982103516,False
tfidf,1,4,R+D,2,0.1,0.19663626865069753,False
tfidf,1,4,R+D,3,1.0,0.08704766891309208,False
tfidf,1,4,R+D,4,10.0,0.041472329472513,False
tfidf,1,4,R+D,5,100.0,0.030733367154186578,True
tfidf,1,4,P+Q+R,1,0.01,0.15561785275926351,False
tfidf,1,4,P+Q+R,2,0.1,0.08779593969045434,False
tfidf,1,4,P+Q+R,3,1.0,0.047759487764889925,False
tfidf,1,4,P+Q+R,4,10.0,0.03463175147646283,False
tfidf,1,4,P+Q+R,5,100.0,0.0313224719241152,True
tfidf,1,4,P+Q+D,1,0.01,0.112461835374749,False
tfidf,1,4,P+Q+D,2,0.1,0.0982748655695486,False
tfidf,1,4,P+Q+D,3,1.0,0.07934998918855692,False
tfidf,1,4,P+Q+D,4,10.0,0.07870217703943672,True
tfidf,1,4,P+Q+D,5,100.0,0.09109335014365948,False
tfidf,1,4,P+R+D,1,0.01,0.2653220087494233,False
tfidf,1,4,P+R+D,2,0.1,0.15023861985487538,False
tfidf,1,4,P+R+D,3,1.0,0.08655113964932572,False
tfidf,1,4,P+R+D,4,10.0,0.041274959905348164,False
tfidf,1,4,P+R+D,5,100.0,0.03032506443490701,True
tfidf,1,4,Q+R+D,1,0.01,0.5905695416414664,False
tfidf,1,4,Q+R+D,2,0.1,0.330119410017684,False
tfidf,1,4,Q+R+D,3,1.0,0.12257296791991294,False
tfidf,1,4,Q+R+D,4,10.0,0.04426127573567699,False
tfidf,1,4,Q+R+D,5,100.0,0.033206352099522156,True
tfidf,1,4,P+Q+R+D,1,0.01,0.4893958875097028,False
tfidf,1,4,P+Q+R+D,2,0.1,0.28098503261797103,False
tfidf,1,4,P+Q+R+D,3,1.0,0.10219400009121404,False
tfidf,1,4,P+Q+R+D,4,10.0,0.04082658412444707,False
tfidf,1,4,P+Q+R+D,5,100.0,0.031217186211073177,True
tfidf,1,5,P,1,0.01,0.11149393987114119,False
tfidf,1,5,P,2,0.1,0.11148710911578391,False
tfidf,1,5,P,3,1.0,0.11142365979351278,False
tfidf,1,5,P,4,10.0,0.11117716074518062,True
tfidf,1,5,P,5,100.0,0.11675305922880065,False
tfidf,1,5,Q,1,0.01,0.1312499565719493,False
tfidf,1,5,Q,2,0.1,0.13626508616787325,False
tfidf,1,5,Q,3,1.0,0.15372868075498117,False
tfidf,1,5,Q,4,10.0,0.1454849462963827,False
tfidf,1,5,Q,5,100.0,0.1204667904069603,True
tfidf,1,5,R,1,0.01,0.04147878250895551,False
tfidf,1,5,R,2,0.1,0.03936423918247478,False
tfidf,1,5,R,3,1.0,0.03715735840116142,False
tfidf,1,5,R,4,10.0,0.03356398217058004,False
tfidf,1,5,R,5,100.0,0.03102661452501231,True
tfidf,1,5,D,1,0.01,0.11777370713455455,False
tfidf,1,5,D,2,0.1,0.11769416887904953,False
tfidf,1,5,D,3,1.0,0.11692592191276734,False
tfidf,1,5,D,4,10.0,0.11131165014136711,False
tfidf,1,5,D,5,100.0,0.10573270664507489,True
tfidf,1,5,P+Q,1,0.01,0.09223083964562645,False
tfidf,1,5,P+Q,2,0.1,0.09150925593772581,False
tfidf,1,5,P+Q,3,1.0,0.0867673336815742,False
tfidf,1,5,P+Q,4,10.0,0.0826424338450195,True
tfidf,1,5,P+Q,5,100.0,0.09944809906098039,False
tfidf,1,5,P+R,1,0.01,0.06582717242170529,False
tfidf,1,5,P+R,2,0.1,0.046386355593505235,False
tfidf,1,5,P+R,3,1.0,0.03702967743329004,False
tfidf,1,5,P+R,4,10.0,0.03140106152752292,False
tfidf,1,5,P+R,5,100.0,0.03016363302707205,True
tfidf,1,5,P+D,1,0.01,0.12401966287966844,False
tfidf,1,5,P+D,2,0.1,0.12385144306239759,False
tfidf,1,5,P+D,3,1.0,0.12224889083879394,False
tfidf,1,5,P+D,4,10.0,0.11170342142370093,False
tfidf,1,5,P+D,5,100.0,0.10193655083530834,True
tfidf,1,5,Q+R,1,0.01,0.18560995421375656,False
tfidf,1,5,Q+R,2,0.1,0.08857162298710693,False
tfidf,1,5,Q+R,3,1.0,0.04926066164564521,False
tfidf,1,5,Q+R,4,10.0,0.03487727709575205,False
tfidf,1,5,Q+R,5,100.0,0.02829821580930404,True
tfidf,1,5,Q+D,1,0.01,0.07500621322427206,False
tfidf,1,5,Q+D,2,0.1,0.07455307565987657,False
tfidf,1,5,Q+D,3,1.0,0.07144707726513748,False
tfidf,1,5,Q+D,4,10.0,0.06537156612568885,True
tfidf,1,5,Q+D,5,100.0,0.07821070988328767,False
tfidf,1,5,R+D,1,0.01,0.6937640029623279,False
tfidf,1,5,R+D,2,0.1,0.2377883116929753,False
tfidf,1,5,R+D,3,1.0,0.07948662334237305,False
tfidf,1,5,R+D,4,10.0,0.035815918374154286,False
tfidf,1,5,R+D,5,100.0,0.027813177449183702,True
tfidf,1,5,P+Q+R,1,0.01,0.15988465055558412,False
tfidf,1,5,P+Q+R,2,0.1,0.09507457870151646,False
tfidf,1,5,P+Q+R,3,1.0,0.047041876858375,False
tfidf,1,5,P+Q+R,4,10.0,0.031416707079798795,False
tfidf,1,5,P+Q+R,5,100.0,0.02827113520586974,True
tfidf,1,5,P+Q+D,1,0.01,0.10215805355677605,False
tfidf,1,5,P+Q+D,2,0.1,0.10130882684423002,False
tfidf,1,5,P+Q+D,3,1.0,0.09530274091205787,False
tfidf,1,5,P+Q+D,4,10.0,0.08133656254187203,True
tfidf,1,5,P+Q+D,5,100.0,0.0820242029904473,False
tfidf,1,5,P+R+D,1,0.01,0.8582744276088717,False
tfidf,1,5,P+R+D,2,0.1,0.283030756572294,False
tfidf,1,5,P+R+D,3,1.0,0.13353180347399543,False
tfidf,1,5,P+R+D,4,10.0,0.047253163443044845,False
tfidf,1,5,P+R+D,5,100.0,0.02854014517157788,True
tfidf,1,5,Q+R+D,1,0.01,1.283843209987536,False
tfidf,1,5,Q+R+D,2,0.1,0.5482415156966964,False
tfidf,1,5,Q+R+D,3,1.0,0.165816176592579,False
tfidf,1,5,Q+R+D,4,10.0,0.03949070406751104,False
tfidf,1,5,Q+R+D,5,100.0,0.025048212278539084,True
tfidf,1,5,P+Q+R+D,1,0.01,1.2366784316801178,False
tfidf,1,5,P+Q+R+D,2,0.1,0.6554457539560111,False
tfidf,1,5,P+Q+R+D,3,1.0,0.18543045922284204,False
tfidf,1,5,P+Q+R+D,4,10.0,0.04161852414061815,False
tfidf,1,5,P+Q+R+D,5,100.0,0.026019960217004267,True
tfidf,2,1,P,1,0.01,0.1425842814155114,False
tfidf,2,1,P,2,0.1,0.14257992224498484,False
tfidf,2,1,P,3,1.0,0.1425409670655012,False
tfidf,2,1,P,4,10.0,0.1425182068998435,True
tfidf,2,1,P,5,100.0,0.1491587267735458,False
tfidf,2,1,Q,1,0.01,0.20478983607487386,False
tfidf,2,1,Q,2,0.1,0.17776153894610172,False
tfidf,2,1,Q,3,1.0,0.12087625619534396,False
tfidf,2,1,Q,4,10.0,0.11683310692574905,True
tfidf,2,1,Q,5,100.0,0.1357728324967282,False
tfidf,2,1,R,1,0.01,0.05378637343662682,False
tfidf,2,1,R,2,0.1,0.04833250782179055,False
tfidf,2,1,R,3,1.0,0.0372580803879676,False
tfidf,2,1,R,4,10.0,0.032168436777915636,False
tfidf,2,1,R,5,100.0,0.03206428897846076,True
tfidf,2,1,D,1,0.01,0.13226830240856996,False
tfidf,2,1,D,2,0.1,0.13219602636889025,False
tfidf,2,1,D,3,1.0,0.1315069458907486,False
tfidf,2,1,D,4,10.0,0.12707213479614435,True
tfidf,2,1,D,5,100.0,0.13005688527711365,False
tfidf,2,1,P+Q,1,0.01,0.09170337712406695,False
tfidf,2,1,P+Q,2,0.1,0.09149594779940305,False
tfidf,2,1,P+Q,3,1.0,0.09055349172747403,True
tfidf,2,1,P+Q,4,10.0,0.09442259546991084,False
tfidf,2,1,P+Q,5,100.0,0.11653249451809844,False
tfidf,2,1,P+R,1,0.01,7.756281152430113,False
tfidf,2,1,P+R,2,0.1,6.564186441454279,False
tfidf,2,1,P+R,3,1.0,3.7744724691305667,False
tfidf,2,1,P+R,4,10.0,1.1215192912721828,False
tfidf,2,1,P+R,5,100.0,0.08162084099702584,True
tfidf,2,1,P+D,1,0.01,0.12496937436243712,False
tfidf,2,1,P+D,2,0.1,0.12490171057577233,False
tfidf,2,1,P+D,3,1.0,0.12425636449529699,False
tfidf,2,1,P+D,4,10.0,0.12007156073736469,True
tfidf,2,1,P+D,5,100.0,0.12230477342958608,False
tfidf,2,1,Q+R,1,0.01,9.005207937961684,False
tfidf,2,1,Q+R,2,0.1,0.3191301883357723,False
tfidf,2,1,Q+R,3,1.0,0.03935191402934414,False
tfidf,2,1,Q+R,4,10.0,0.03254917018561273,False
tfidf,2,1,Q+R,5,100.0,0.029568288471360258,True
tfidf,2,1,Q+D,1,0.01,0.12377167903748632,False
tfidf,2,1,Q+D,2,0.1,0.12502437793397894,False
tfidf,2,1,Q+D,3,1.0,0.1274284753199938,False
tfidf,2,1,Q+D,4,10.0,0.11333076483174852,False
tfidf,2,1,Q+D,5,100.0,0.10925359317704612,True
tfidf,2,1,R+D,1,0.01,5.307225865291352,False
tfidf,2,1,R+D,2,0.1,0.4010973200340047,False
tfidf,2,1,R+D,3,1.0,5.468092101330715,False
tfidf,2,1,R+D,4,10.0,3.155504098764266,False
tfidf,2,1,R+D,5,100.0,0.22156893718911927,True
tfidf,2,1,P+Q+R,1,0.01,0.24154226722105956,False
tfidf,2,1,P+Q+R,2,0.1,0.10680407650939787,False
tfidf,2,1,P+Q+R,3,1.0,0.051937299190732956,False
tfidf,2,1,P+Q+R,4,10.0,0.039268933738253395,False
tfidf,2,1,P+Q+R,5,100.0,0.0332682286577259,True
tfidf,2,1,P+Q+D,1,0.01,0.1613901374699578,False
tfidf,2,1,P+Q+D,2,0.1,0.1586523586910116,False
tfidf,2,1,P+Q+D,3,1.0,0.14503982623311834,False
tfidf,2,1,P+Q+D,4,10.0,0.1167692681090991,False
tfidf,2,1,P+Q+D,5,100.0,0.10410585139235862,True
tfidf,2,1,P+R+D,1,0.01,0.23310736225323284,False
tfidf,2,1,P+R+D,2,0.1,0.1815861095695542,False
tfidf,2,1,P+R+D,3,1.0,0.08060302638082216,False
tfidf,2,1,P+R+D,4,10.0,0.03617697504976216,False
tfidf,2,1,P+R+D,5,100.0,0.027542000576336673,True
tfidf,2,1,Q+R+D,1,0.01,0.4186537037307721,False
tfidf,2,1,Q+R+D,2,0.1,0.20550940157589956,False
tfidf,2,1,Q+R+D,3,1.0,0.1147879518777724,False
tfidf,2,1,Q+R+D,4,10.0,0.04989160416971664,False
tfidf,2,1,Q+R+D,5,100.0,0.03328725499290062,True
tfidf,2,1,P+Q+R+D,1,0.01,0.34413032876784344,False
tfidf,2,1,P+Q+R+D,2,0.1,0.21002625689097806,False
tfidf,2,1,P+Q+R+D,3,1.0,0.09562492625065111,False
tfidf,2,1,P+Q+R+D,4,10.0,0.03815901990602646,False
tfidf,2,1,P+Q+R+D,5,100.0,0.03049362113860989,True
tfidf,2,2,P,1,0.01,0.08002679927908564,False
tfidf,2,2,P,2,0.1,0.08002048408634267,False
tfidf,2,2,P,3,1.0,0.07996023246414202,False
