dataset,filename,url,dest,expected_bytes,dest_bytes,part_bytes,complete
DAIC-WOZ,328_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/328_P.zip,F:\数据库\DAIC-WOZ\328_P.zip,552035498,0,0,False
DAIC-WOZ,329_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/329_P.zip,F:\数据库\DAIC-WOZ\329_P.zip,366799485,0,0,False
DAIC-WOZ,330_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/330_P.zip,F:\数据库\DAIC-WOZ\330_P.zip,381091699,0,0,False
DAIC-WOZ,331_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/331_P.zip,F:\数据库\DAIC-WOZ\331_P.zip,450485608,0,0,False
DAIC-WOZ,332_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/332_P.zip,F:\数据库\DAIC-WOZ\332_P.zip,457554174,0,0,False
DAIC-WOZ,333_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/333_P.zip,F:\数据库\DAIC-WOZ\333_P.zip,513447217,0,0,False
DAIC-WOZ,334_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/334_P.zip,F:\数据库\DAIC-WOZ\334_P.zip,505737212,0,0,False
DAIC-WOZ,335_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/335_P.zip,F:\数据库\DAIC-WOZ\335_P.zip,407973860,0,0,False
DAIC-WOZ,336_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/336_P.zip,F:\数据库\DAIC-WOZ\336_P.zip,475492256,0,0,False
DAIC-WOZ,337_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/337_P.zip,F:\数据库\DAIC-WOZ\337_P.zip,958826326,0,0,False
DAIC-WOZ,338_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/338_P.zip,F:\数据库\DAIC-WOZ\338_P.zip,306577284,0,0,False
DAIC-WOZ,339_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/339_P.zip,F:\数据库\DAIC-WOZ\339_P.zip,441604853,0,0,False
DAIC-WOZ,340_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/340_P.zip,F:\数据库\DAIC-WOZ\340_P.zip,304959924,0,0,False
DAIC-WOZ,341_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/341_P.zip,F:\数据库\DAIC-WOZ\341_P.zip,,0,0,False
DAIC-WOZ,343_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/343_P.zip,F:\数据库\DAIC-WOZ\343_P.zip,448673094,0,0,False
DAIC-WOZ,344_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/344_P.zip,F:\数据库\DAIC-WOZ\344_P.zip,477053552,0,0,False
DAIC-WOZ,345_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/345_P.zip,F:\数据库\DAIC-WOZ\345_P.zip,414569611,0,0,False
DAIC-WOZ,346_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/346_P.zip,F:\数据库\DAIC-WOZ\346_P.zip,599980803,0,0,False
DAIC-WOZ,347_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/347_P.zip,F:\数据库\DAIC-WOZ\347_P.zip,302979837,0,0,False
DAIC-WOZ,348_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/348_P.zip,F:\数据库\DAIC-WOZ\348_P.zip,343944595,0,0,False
DAIC-WOZ,349_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/349_P.zip,F:\数据库\DAIC-WOZ\349_P.zip,616739003,0,0,False
DAIC-WOZ,350_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/350_P.zip,F:\数据库\DAIC-WOZ\350_P.zip,465250837,0,0,False
DAIC-WOZ,351_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/351_P.zip,F:\数据库\DAIC-WOZ\351_P.zip,395306077,0,0,False
DAIC-WOZ,352_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/352_P.zip,F:\数据库\DAIC-WOZ\352_P.zip,398950823,0,0,False
DAIC-WOZ,353_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/353_P.zip,F:\数据库\DAIC-WOZ\353_P.zip,409858377,0,0,False
DAIC-WOZ,354_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/354_P.zip,F:\数据库\DAIC-WOZ\354_P.zip,300229072,0,0,False
DAIC-WOZ,355_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/355_P.zip,F:\数据库\DAIC-WOZ\355_P.zip,341467688,0,0,False
DAIC-WOZ,356_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/356_P.zip,F:\数据库\DAIC-WOZ\356_P.zip,506288800,0,0,False
DAIC-WOZ,357_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/357_P.zip,F:\数据库\DAIC-WOZ\357_P.zip,195637296,0,0,False
DAIC-WOZ,358_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/358_P.zip,F:\数据库\DAIC-WOZ\358_P.zip,315885987,0,0,False
DAIC-WOZ,359_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/359_P.zip,F:\数据库\DAIC-WOZ\359_P.zip,499007063,0,0,False
DAIC-WOZ,360_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/360_P.zip,F:\数据库\DAIC-WOZ\360_P.zip,223132132,0,0,False
DAIC-WOZ,361_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/361_P.zip,F:\数据库\DAIC-WOZ\361_P.zip,333483661,0,0,False
DAIC-WOZ,362_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/362_P.zip,F:\数据库\DAIC-WOZ\362_P.zip,302766369,0,0,False
DAIC-WOZ,363_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/363_P.zip,F:\数据库\DAIC-WOZ\363_P.zip,658378684,0,0,False
DAIC-WOZ,364_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/364_P.zip,F:\数据库\DAIC-WOZ\364_P.zip,947818674,0,0,False
DAIC-WOZ,365_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/365_P.zip,F:\数据库\DAIC-WOZ\365_P.zip,714178656,0,0,False
DAIC-WOZ,366_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/366_P.zip,F:\数据库\DAIC-WOZ\366_P.zip,667978436,0,0,False
DAIC-WOZ,367_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/367_P.zip,F:\数据库\DAIC-WOZ\367_P.zip,817278992,0,0,False
DAIC-WOZ,368_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/368_P.zip,F:\数据库\DAIC-WOZ\368_P.zip,694095833,0,0,False
DAIC-WOZ,369_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/369_P.zip,F:\数据库\DAIC-WOZ\369_P.zip,519160027,0,0,False
DAIC-WOZ,370_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/370_P.zip,F:\数据库\DAIC-WOZ\370_P.zip,615238725,0,0,False
DAIC-WOZ,371_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/371_P.zip,F:\数据库\DAIC-WOZ\371_P.zip,465926300,0,0,False
DAIC-WOZ,372_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/372_P.zip,F:\数据库\DAIC-WOZ\372_P.zip,761008929,0,0,False
DAIC-WOZ,373_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/373_P.zip,F:\数据库\DAIC-WOZ\373_P.zip,660192733,0,0,False
DAIC-WOZ,374_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/374_P.zip,F:\数据库\DAIC-WOZ\374_P.zip,668327874,0,0,False
DAIC-WOZ,375_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/375_P.zip,F:\数据库\DAIC-WOZ\375_P.zip,300779609,0,0,False
DAIC-WOZ,376_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/376_P.zip,F:\数据库\DAIC-WOZ\376_P.zip,543467174,0,0,False
DAIC-WOZ,377_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/377_P.zip,F:\数据库\DAIC-WOZ\377_P.zip,676925666,0,0,False
DAIC-WOZ,378_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/378_P.zip,F:\数据库\DAIC-WOZ\378_P.zip,450868463,0,0,False
DAIC-WOZ,379_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/379_P.zip,F:\数据库\DAIC-WOZ\379_P.zip,507843825,0,0,False
DAIC-WOZ,380_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/380_P.zip,F:\数据库\DAIC-WOZ\380_P.zip,1003461895,0,0,False
DAIC-WOZ,381_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/381_P.zip,F:\数据库\DAIC-WOZ\381_P.zip,566780332,0,0,False
DAIC-WOZ,382_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/382_P.zip,F:\数据库\DAIC-WOZ\382_P.zip,434519612,0,0,False
DAIC-WOZ,383_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/383_P.zip,F:\数据库\DAIC-WOZ\383_P.zip,717474826,0,0,False
DAIC-WOZ,384_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/384_P.zip,F:\数据库\DAIC-WOZ\384_P.zip,541956579,0,0,False
DAIC-WOZ,385_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/385_P.zip,F:\数据库\DAIC-WOZ\385_P.zip,276841757,0,0,False
DAIC-WOZ,386_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/386_P.zip,F:\数据库\DAIC-WOZ\386_P.zip,545095094,0,0,False
DAIC-WOZ,387_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/387_P.zip,F:\数据库\DAIC-WOZ\387_P.zip,311798892,0,0,False
DAIC-WOZ,388_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/388_P.zip,F:\数据库\DAIC-WOZ\388_P.zip,410138790,0,0,False
DAIC-WOZ,389_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/389_P.zip,F:\数据库\DAIC-WOZ\389_P.zip,408977698,0,0,False
DAIC-WOZ,390_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/390_P.zip,F:\数据库\DAIC-WOZ\390_P.zip,701172549,0,0,False
DAIC-WOZ,391_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/391_P.zip,F:\数据库\DAIC-WOZ\391_P.zip,339450121,0,0,False
DAIC-WOZ,392_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/392_P.zip,F:\数据库\DAIC-WOZ\392_P.zip,331321839,0,0,False
DAIC-WOZ,393_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/393_P.zip,F:\数据库\DAIC-WOZ\393_P.zip,301142651,0,0,False
DAIC-WOZ,395_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/395_P.zip,F:\数据库\DAIC-WOZ\395_P.zip,432926067,0,0,False
DAIC-WOZ,396_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/396_P.zip,F:\数据库\DAIC-WOZ\396_P.zip,402340567,0,0,False
DAIC-WOZ,397_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/397_P.zip,F:\数据库\DAIC-WOZ\397_P.zip,505788765,0,0,False
DAIC-WOZ,399_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/399_P.zip,F:\数据库\DAIC-WOZ\399_P.zip,369881637,0,0,False
DAIC-WOZ,400_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/400_P.zip,F:\数据库\DAIC-WOZ\400_P.zip,464352870,0,0,False
DAIC-WOZ,401_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/401_P.zip,F:\数据库\DAIC-WOZ\401_P.zip,481070707,0,0,False
DAIC-WOZ,402_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/402_P.zip,F:\数据库\DAIC-WOZ\402_P.zip,418293984,0,0,False
DAIC-WOZ,403_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/403_P.zip,F:\数据库\DAIC-WOZ\403_P.zip,445815093,0,0,False
DAIC-WOZ,404_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/404_P.zip,F:\数据库\DAIC-WOZ\404_P.zip,583403633,0,0,False
DAIC-WOZ,405_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/405_P.zip,F:\数据库\DAIC-WOZ\405_P.zip,821331326,0,0,False
DAIC-WOZ,406_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/406_P.zip,F:\数据库\DAIC-WOZ\406_P.zip,364592608,0,0,False
DAIC-WOZ,407_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/407_P.zip,F:\数据库\DAIC-WOZ\407_P.zip,654635587,0,0,False
DAIC-WOZ,408_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/408_P.zip,F:\数据库\DAIC-WOZ\408_P.zip,352125227,0,0,False
DAIC-WOZ,409_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/409_P.zip,F:\数据库\DAIC-WOZ\409_P.zip,537319324,0,0,False
DAIC-WOZ,410_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/410_P.zip,F:\数据库\DAIC-WOZ\410_P.zip,548710933,0,0,False
DAIC-WOZ,411_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/411_P.zip,F:\数据库\DAIC-WOZ\411_P.zip,694920702,0,0,False
DAIC-WOZ,412_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/412_P.zip,F:\数据库\DAIC-WOZ\412_P.zip,441282921,0,0,False
DAIC-WOZ,413_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/413_P.zip,F:\数据库\DAIC-WOZ\413_P.zip,516297827,0,0,False
DAIC-WOZ,414_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/414_P.zip,F:\数据库\DAIC-WOZ\414_P.zip,507853134,0,0,False
DAIC-WOZ,415_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/415_P.zip,F:\数据库\DAIC-WOZ\415_P.zip,403264758,0,0,False
DAIC-WOZ,416_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/416_P.zip,F:\数据库\DAIC-WOZ\416_P.zip,434386996,0,0,False
DAIC-WOZ,417_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/417_P.zip,F:\数据库\DAIC-WOZ\417_P.zip,450593053,0,0,False
DAIC-WOZ,418_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/418_P.zip,F:\数据库\DAIC-WOZ\418_P.zip,513017131,0,0,False
DAIC-WOZ,419_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/419_P.zip,F:\数据库\DAIC-WOZ\419_P.zip,464591524,0,0,False
DAIC-WOZ,420_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/420_P.zip,F:\数据库\DAIC-WOZ\420_P.zip,379275134,0,0,False
DAIC-WOZ,421_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/421_P.zip,F:\数据库\DAIC-WOZ\421_P.zip,434759524,0,0,False
DAIC-WOZ,422_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/422_P.zip,F:\数据库\DAIC-WOZ\422_P.zip,653031938,0,0,False
DAIC-WOZ,423_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/423_P.zip,F:\数据库\DAIC-WOZ\423_P.zip,517240740,0,0,False
DAIC-WOZ,424_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/424_P.zip,F:\数据库\DAIC-WOZ\424_P.zip,542681170,0,0,False
DAIC-WOZ,425_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/425_P.zip,F:\数据库\DAIC-WOZ\425_P.zip,604386015,0,0,False
DAIC-WOZ,426_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/426_P.zip,F:\数据库\DAIC-WOZ\426_P.zip,438483391,0,0,False
DAIC-WOZ,427_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/427_P.zip,F:\数据库\DAIC-WOZ\427_P.zip,435889898,0,0,False
DAIC-WOZ,428_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/428_P.zip,F:\数据库\DAIC-WOZ\428_P.zip,350382844,0,0,False
DAIC-WOZ,429_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/429_P.zip,F:\数据库\DAIC-WOZ\429_P.zip,503624510,0,0,False
DAIC-WOZ,430_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/430_P.zip,F:\数据库\DAIC-WOZ\430_P.zip,474222800,0,0,False
DAIC-WOZ,431_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/431_P.zip,F:\数据库\DAIC-WOZ\431_P.zip,411016133,0,0,False
DAIC-WOZ,432_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/432_P.zip,F:\数据库\DAIC-WOZ\432_P.zip,395079196,0,0,False
DAIC-WOZ,433_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/433_P.zip,F:\数据库\DAIC-WOZ\433_P.zip,411810845,0,0,False
DAIC-WOZ,434_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/434_P.zip,F:\数据库\DAIC-WOZ\434_P.zip,634998421,0,0,False
DAIC-WOZ,435_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/435_P.zip,F:\数据库\DAIC-WOZ\435_P.zip,609820683,0,0,False
DAIC-WOZ,436_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/436_P.zip,F:\数据库\DAIC-WOZ\436_P.zip,363433770,0,0,False
DAIC-WOZ,437_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/437_P.zip,F:\数据库\DAIC-WOZ\437_P.zip,430660635,0,0,False
DAIC-WOZ,438_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/438_P.zip,F:\数据库\DAIC-WOZ\438_P.zip,750265218,0,0,False
DAIC-WOZ,439_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/439_P.zip,F:\数据库\DAIC-WOZ\439_P.zip,655002825,0,0,False
DAIC-WOZ,440_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/440_P.zip,F:\数据库\DAIC-WOZ\440_P.zip,723597534,0,0,False
DAIC-WOZ,441_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/441_P.zip,F:\数据库\DAIC-WOZ\441_P.zip,477321639,0,0,False
DAIC-WOZ,442_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/442_P.zip,F:\数据库\DAIC-WOZ\442_P.zip,496710077,0,0,False
DAIC-WOZ,443_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/443_P.zip,F:\数据库\DAIC-WOZ\443_P.zip,361306660,0,0,False
DAIC-WOZ,444_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/444_P.zip,F:\数据库\DAIC-WOZ\444_P.zip,681757552,0,0,False
DAIC-WOZ,445_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/445_P.zip,F:\数据库\DAIC-WOZ\445_P.zip,362238228,0,0,False
DAIC-WOZ,446_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/446_P.zip,F:\数据库\DAIC-WOZ\446_P.zip,519306760,0,0,False
DAIC-WOZ,447_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/447_P.zip,F:\数据库\DAIC-WOZ\447_P.zip,425496647,0,0,False
DAIC-WOZ,448_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/448_P.zip,F:\数据库\DAIC-WOZ\448_P.zip,648356257,0,0,False
DAIC-WOZ,449_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/449_P.zip,F:\数据库\DAIC-WOZ\449_P.zip,537409710,0,0,False
DAIC-WOZ,450_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/450_P.zip,F:\数据库\DAIC-WOZ\450_P.zip,661364831,0,0,False
DAIC-WOZ,451_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/451_P.zip,F:\数据库\DAIC-WOZ\451_P.zip,614260932,0,0,False
DAIC-WOZ,452_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/452_P.zip,F:\数据库\DAIC-WOZ\452_P.zip,459206512,0,0,False
DAIC-WOZ,453_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/453_P.zip,F:\数据库\DAIC-WOZ\453_P.zip,524487275,0,0,False
DAIC-WOZ,454_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/454_P.zip,F:\数据库\DAIC-WOZ\454_P.zip,416158632,0,0,False
DAIC-WOZ,455_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/455_P.zip,F:\数据库\DAIC-WOZ\455_P.zip,381030858,0,0,False
DAIC-WOZ,456_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/456_P.zip,F:\数据库\DAIC-WOZ\456_P.zip,442233880,0,0,False
DAIC-WOZ,457_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/457_P.zip,F:\数据库\DAIC-WOZ\457_P.zip,496803363,0,0,False
DAIC-WOZ,458_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/458_P.zip,F:\数据库\DAIC-WOZ\458_P.zip,500760324,0,0,False
DAIC-WOZ,459_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/459_P.zip,F:\数据库\DAIC-WOZ\459_P.zip,506197754,0,0,False
DAIC-WOZ,461_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/461_P.zip,F:\数据库\DAIC-WOZ\461_P.zip,514500468,0,0,False
DAIC-WOZ,462_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/462_P.zip,F:\数据库\DAIC-WOZ\462_P.zip,465991441,0,0,False
